Iteration 1/10, RMSE: 48.60255349810428
Iteration 2/10, RMSE: 34.14348616513327
Iteration 3/10, RMSE: 24.712112071708095
Iteration 4/10, RMSE: 18.520626542482912
Iteration 5/10, RMSE: 15.487248077723528
Iteration 6/10, RMSE: 14.192330812688288
Iteration 7/10, RMSE: 13.582900851531358
Iteration 8/10, RMSE: 13.246854525584686
Iteration 9/10, RMSE: 13.034347212728832
Iteration 10/10, RMSE: 12.884935717685973
